Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Gamecock,0.16,0.02,0.0,0.0,0.2
SSI,0.11,0.07,0.0,0.01,0.19
Phenomedia,0.16,0.0,0.0,0.0,0.19
Happinet,0.0,0.0,0.18000000000000002,0.0,0.18000000000000002
Media Works,0.0,0.0,0.18,0.0,0.18
DHM Interactive,0.16,0.0,0.0,0.01,0.18
Asmik Corp,0.0,0.0,0.17,0.0,0.17
Panther Software,0.02,0.02,0.12,0.01,0.17
Tivola,0.08,0.07,0.0,0.02,0.17
Sunrise Interactive,0.0,0.0,0.17,0.0,0.17
Adeline Software,0.1,0.07,0.0,0.01,0.17
Xicat Interactive,0.09,0.06,0.0,0.01,0.16999999999999998
Aques,0.0,0.0,0.15,0.01,0.16
White Park Bay Software,0.13,0.01,0.0,0.01,0.16
Gainax Network Systems,0.0,0.0,0.16,0.01,0.16
EA Games,0.07,0.06,0.0,0.02,0.15
Data East,0.0,0.0,0.15,0.0,0.15
Comfort,0.0,0.0,0.15,0.0,0.15
Global A Entertainment,0.13,0.0,0.01,0.01,0.15
Sony Music Entertainment,0.0,0.0,0.14,0.0,0.14
Tripwire Interactive,0.04,0.07,0.0,0.02,0.14
General Entertainment,0.0,0.0,0.13,0.01,0.14
Kaga Create,0.0,0.0,0.14,0.0,0.14
Imadio,0.0,0.0,0.14,0.0,0.14
Game Arts,0.0,0.0,0.14,0.0,0.14
HMH Interactive,0.0,0.11,0.0,0.02,0.14
Daedalic Entertainment,0.0,0.11,0.0,0.01,0.14
Moss,0.1,0.0,0.02,0.01,0.13
responDESIGN,0.09000000000000001,0.04,0.0,0.01,0.13
Myelin Media,0.09,0.04,0.0,0.01,0.13
DreamWorks Interactive,0.07,0.05,0.0,0.01,0.13
Havas Interactive,0.01,0.09,0.0,0.02,0.13
SCS Software,0.0,0.12,0.0,0.02,0.13
FunSoft,0.07,0.05,0.0,0.01,0.12
Bohemia Interactive,0.0,0.1,0.0,0.02,0.12
Insomniac Games,0.1,0.0,0.0,0.01,0.12
T&E Soft,0.0,0.0,0.12,0.0,0.12
SPS,0.07,0.04,0.0,0.01,0.12
LSP Games,0.08,0.04,0.0,0.01,0.12
Flight-Plan,0.0,0.0,0.12,0.0,0.12
TopWare Interactive,0.0,0.1,0.0,0.02,0.12
NDA Productions,0.09,0.02,0.0,0.0,0.12
TOHO,0.0,0.0,0.11,0.0,0.11
Tradewest,0.02,0.06,0.0,0.01,0.11
Simon & Schuster Interactive,0.08,0.02,0.0,0.0,0.11
dramatic create,0.0,0.0,0.11,0.0,0.11
PopTop Software,0.06,0.04,0.0,0.01,0.11
10TACLE Studios,0.06999999999999999,0.04,0.0,0.0,0.11
Ascaron Entertainment GmbH,0.0,0.09,0.0,0.02,0.11
Gameloft,0.1,0.0,0.0,0.01,0.11
Pack-In-Video,0.0,0.0,0.11,0.0,0.11
Enjoy Gaming ltd.,0.09,0.0,0.0,0.01,0.1
Interplay Productions,0.05,0.04,0.0,0.01,0.1
Interchannel,0.0,0.0,0.1,0.0,0.1
Image Epoch,0.0,0.0,0.1,0.0,0.1
GameTek,0.08,0.02,0.0,0.0,0.1
Type-Moon,0.0,0.0,0.1,0.0,0.1
1C Company,0.01,0.06999999999999999,0.0,0.02,0.1
PM Studios,0.09,0.0,0.0,0.01,0.1
inXile Entertainment,0.02,0.06,0.0,0.01,0.1
Creative Core,0.0,0.0,0.09999999999999999,0.0,0.09999999999999999
TGL,0.0,0.0,0.09999999999999999,0.0,0.09999999999999999
Edia,0.0,0.0,0.09000000000000001,0.0,0.09000000000000001
Athena,0.02,0.0,0.07,0.0,0.09000000000000001
Origin Systems,0.05,0.03,0.0,0.01,0.09
Hearty Robin,0.0,0.0,0.08,0.01,0.09
Groove Games,0.07,0.02,0.0,0.0,0.09
Griffin International,0.08,0.0,0.0,0.01,0.09
Phantom EFX,0.09,0.0,0.0,0.01,0.09
Nippon Amuse,0.0,0.0,0.09,0.0,0.09
Arika,0.04,0.03,0.02,0.01,0.09
Culture Publishers,0.05,0.03,0.0,0.01,0.09
Flashpoint Games,0.07,0.01,0.0,0.0,0.08
Glams,0.0,0.0,0.08,0.0,0.08
Milestone,0.08,0.0,0.0,0.0,0.08
Crimson Cow,0.0,0.060000000000000005,0.0,0.01,0.08
Iceberg Interactive,0.02,0.05,0.0,0.0,0.08
Abylight,0.07,0.0,0.0,0.01,0.08
7G//AMES,0.0,0.06,0.0,0.0,0.08
Cloud Imperium Games Corporation,0.08,0.0,0.0,0.0,0.08
